SYMBOL,SYMBOLS,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
BAJFINANCE,BAJFINANCE.NS,Bajaj Finance Limited,EQ,1-Apr-03,2,1,INE296A01024,2
BALAJEE,BALAJEE.NS,Shree Tirupati Balajee Agro Trading Company Limited,BE,12-Sep-24,10,1,INE0S2G01011,10
BALAJITELE,BALAJITELE.NS,Balaji Telefilms Limited,BE,22-Nov-00,2,1,INE794B01026,2
BALAMINES,BALAMINES.NS,Balaji Amines Limited,EQ,5-Apr-07,2,1,INE050E01027,2
BALAXI,BALAXI.NS,BALAXI PHARMACEUTICALS LIMITED,EQ,30-Nov-15,2,1,INE618N01022,2
BALKRISHNA,BALKRISHNA.NS,Balkrishna Paper Mills Limited,EQ,28-Jul-15,10,1,INE875R01011,10
BALKRISIND,BALKRISIND.NS,Balkrishna Industries Limited,EQ,27-Jan-06,2,1,INE787D01026,2
BALMLAWRIE,BALMLAWRIE.NS,Balmer Lawrie & Company Limited,EQ,6-Jul-95,10,1,INE164A01016,10
BALPHARMA,BALPHARMA.NS,Bal Pharma Limited,BE,8-May-06,10,1,INE083D01012,10
BALRAMCHIN,BALRAMCHIN.NS,Balrampur Chini Mills Limited,EQ,8-Feb-95,1,1,INE119A01028,1
BALUFORGE,BALUFORGE.NS,Balu Forge Industries Limited,EQ,29-Apr-24,10,1,INE011E01029,10
BANARBEADS,BANARBEADS.NS,Banaras Beads Limited,EQ,7-Jul-95,10,1,INE655B01011,10
BANARISUG,BANARISUG.NS,Bannari Amman Sugars Limited,EQ,28-May-03,10,1,INE459A01010,10
BANCOINDIA,BANCOINDIA.NS,Banco Products (I) Limited,EQ,22-Dec-06,2,1,INE213C01025,2
BANDHANBNK,BANDHANBNK.NS,Bandhan Bank Limited,EQ,27-Mar-18,10,1,INE545U01014,10
BANG,BANG.NS,Bang Overseas Limited,EQ,20-Feb-08,10,1,INE863I01016,10
BANKA,BANKA.NS,Banka BioLoo Limited,EQ,29-Oct-20,10,1,INE862Y01015,10
BANKBARODA,BANKBARODA.NS,Bank of Baroda,EQ,19-Feb-97,2,1,INE028A01039,2
BANKINDIA,BANKINDIA.NS,Bank of India,EQ,30-Apr-97,10,1,INE084A01016,10
BANSALWIRE,BANSALWIRE.NS,Bansal Wire Industries Limited,EQ,10-Jul-24,5,1,INE0B9K01025,5
BANSWRAS,BANSWRAS.NS,Banswara Syntex Limited,EQ,11-Apr-07,5,1,INE629D01020,5
BARBEQUE,BARBEQUE.NS,Barbeque Nation Hospitality Limited,EQ,7-Apr-21,5,1,INE382M01027,5
BASF,BASF.NS,BASF India Limited,EQ,17-May-95,10,1,INE373A01013,10
BASML,BASML.NS,Bannari Amman Spinning Mills Limited,BE,14-Nov-05,5,1,INE186H01022,5
BATAINDIA,BATAINDIA.NS,Bata India Limited,EQ,18-Jun-03,5,1,INE176A01028,5
BAYERCROP,BAYERCROP.NS,Bayer Cropscience Limited,EQ,8-Jan-10,10,1,INE462A01022,10
BBL,BBL.NS,Bharat Bijlee Limited,EQ,21-Nov-06,5,1,INE464A01036,5
BBOX,BBOX.NS,Black Box Limited,BE,22-Jul-03,2,1,INE676A01027,2
BBTC,BBTC.NS,Bombay Burmah Trading Corporation Limited,EQ,3-Apr-96,2,1,INE050A01025,2
BBTCL,BBTCL.NS,B&B Triplewall Containers Limited,EQ,23-Nov-22,10,1,INE01EE01011,10
BCLIND,BCLIND.NS,Bcl Industries Limited,EQ,4-Mar-21,1,1,INE412G01024,1
