SYMBOL,SYMBOLS,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
CUBEXTUB,CUBEXTUB.NS,Cubex Tubings Limited,EQ,24-Apr-96,10,1,INE144D01012,10
CUMMINSIND,CUMMINSIND.NS,Cummins India Limited,EQ,29-Mar-95,2,1,INE298A01020,2
CUPID,CUPID.NS,Cupid Limited,BE,16-Sep-16,1,1,INE509F01029,1
CYBERMEDIA,CYBERMEDIA.NS,Cyber Media (India) Limited,EQ,10-Jun-05,10,1,INE278G01037,10
CYBERTECH,CYBERTECH.NS,Cybertech Systems And Software Limited,BE,27-Jan-99,10,1,INE214A01019,10
CYIENT,CYIENT.NS,Cyient Limited,EQ,30-Sep-98,5,1,INE136B01020,5
CYIENTDLM,CYIENTDLM.NS,Cyient DLM Limited,EQ,10-Jul-23,10,1,INE055S01018,10
DABUR,DABUR.NS,Dabur India Limited,EQ,28-Apr-99,1,1,INE016A01026,1
DALBHARAT,DALBHARAT.NS,Dalmia Bharat Limited,EQ,22-Jan-19,2,1,INE00R701025,2
DALMIASUG,DALMIASUG.NS,Dalmia Bharat Sugar and Industries Limited,EQ,17-Jan-96,2,1,INE495A01022,2
DAMODARIND,DAMODARIND.NS,Damodar Industries Limited,EQ,4-Jul-16,5,1,INE497D01022,5
DANGEE,DANGEE.NS,Dangee Dums Limited,EQ,13-Nov-20,1,1,INE688Y01022,1
DATAMATICS,DATAMATICS.NS,Datamatics Global Services Limited,EQ,7-May-04,5,1,INE365B01017,5
DATAPATTNS,DATAPATTNS.NS,Data Patterns (India) Limited,EQ,24-Dec-21,2,1,INE0IX101010,2
DAVANGERE,DAVANGERE.NS,Davangere Sugar Company Limited,EQ,25-Jan-24,1,1,INE179G01029,1
DBCORP,DBCORP.NS,D.B.Corp Limited,EQ,6-Jan-10,10,1,INE950I01011,10
DBL,DBL.NS,Dilip Buildcon Limited,EQ,11-Aug-16,10,1,INE917M01012,10
DBOL,DBOL.NS,Dhampur Bio Organics Limited,EQ,8-Sep-22,10,1,INE0I3401014,10
DBREALTY,DBREALTY.NS,Valor Estate Limited,EQ,24-Feb-10,10,1,INE879I01012,10
DBSTOCKBRO,DBSTOCKBRO.NS,DB (International) Stock Brokers Limited,EQ,29-Feb-12,2,1,INE921B01025,2
DCAL,DCAL.NS,Dishman Carbogen Amcis Limited,EQ,21-Sep-17,2,1,INE385W01011,2
DCBBANK,DCBBANK.NS,DCB Bank Limited,EQ,27-Oct-06,10,1,INE503A01015,10
DCI,DCI.NS,Dc Infotech And Communication Limited,BE,19-Oct-22,10,1,INE0A1101019,10
DCM,DCM.NS,DCM  Limited,BE,29-Mar-95,10,1,INE498A01018,10
DCMFINSERV,DCMFINSERV.NS,DCM Financial Services Limited,BE,21-May-97,10,1,INE891B01012,10
DCMNVL,DCMNVL.NS,DCM Nouvelle Limited,BE,16-Jul-19,10,1,INE08KP01019,10
DCMSHRIRAM,DCMSHRIRAM.NS,DCM Shriram Limited,EQ,12-Apr-95,2,1,INE499A01024,2
DCMSRIND,DCMSRIND.NS,DCM Shriram Industries Limited,EQ,24-Dec-21,2,1,INE843D01027,2
DCW,DCW.NS,DCW Limited,EQ,25-May-95,2,1,INE500A01029,2
DCXINDIA,DCXINDIA.NS,DCX Systems Limited,BE,11-Nov-22,2,1,INE0KL801015,2
DECCANCE,DECCANCE.NS,Deccan Cements Limited,EQ,2-Aug-07,5,1,INE583C01021,5
DEEDEV,DEEDEV.NS,DEE Development Engineers Limited,EQ,26-Jun-24,10,1,INE841L01016,10
DEEPAKFERT,DEEPAKFERT.NS,Deepak Fertilizers and Petrochemicals Corporation Limited,EQ,17-Jan-03,10,1,INE501A01019,10
DEEPAKNTR,DEEPAKNTR.NS,Deepak Nitrite Limited,EQ,29-Sep-10,2,1,INE288B01029,2
DEEPENR,DEEPENR.NS,DEEP ENERGY RESOURCES LIMITED,BE,9-Mar-10,10,1,INE677H01012,10
DEEPINDS,DEEPINDS.NS,Deep Industries Limited,EQ,27-Apr-21,5,1,INE0FHS01024,5
DELHIVERY,DELHIVERY.NS,Delhivery Limited,EQ,24-May-22,1,1,INE148O01028,1
DELPHIFX,DELPHIFX.NS,DELPHI WORLD MONEY LIMITED,BE,28-Jun-11,10,1,INE726L01019,10
DELTACORP,DELTACORP.NS,Delta Corp Limited,EQ,2-Nov-07,1,1,INE124G01033,1
DELTAMAGNT,DELTAMAGNT.NS,Delta Manufacturing Limited,EQ,18-Oct-95,10,1,INE393A01011,10
DEN,DEN.NS,Den Networks Limited,EQ,24-Nov-09,10,1,INE947J01015,10
DENORA,DENORA.NS,De Nora India Limited,EQ,7-Aug-97,10,1,INE244A01016,10
DEVIT,DEVIT.NS,Dev Information Technology Limited,EQ,15-Feb-22,5,1,INE060X01026,5
DEVYANI,DEVYANI.NS,Devyani International Limited,EQ,16-Aug-21,1,1,INE872J01023,1
DGCONTENT,DGCONTENT.NS,Digicontent Limited,BE,18-Jun-19,2,1,INE03JI01017,2
DHAMPURSUG,DHAMPURSUG.NS,Dhampur Sugar Mills Limited,EQ,29-Mar-95,10,1,INE041A01016,10
DHANBANK,DHANBANK.NS,Dhanlaxmi Bank Limited,EQ,1-Apr-04,10,1,INE680A01011,10
DHANI,DHANI.NS,Dhani Services Limited,EQ,2-Apr-08,2,1,INE274G01010,2
DHANUKA,DHANUKA.NS,Dhanuka Agritech Limited,EQ,29-Jun-11,2,1,INE435G01025,2
DHARMAJ,DHARMAJ.NS,Dharmaj Crop Guard Limited,EQ,8-Dec-22,10,1,INE00OQ01016,10
DHRUV,DHRUV.NS,Dhruv Consultancy Services Limited,BE,25-Nov-21,10,1,INE506Z01015,10
DHUNINV,DHUNINV.NS,Dhunseri Investments Limited,EQ,18-Mar-11,10,1,INE320L01011,10
DIACABS,DIACABS.NS,Diamond Power Infrastructure Limited,BE,15-Sep-23,10,1,INE989C01020,10
DIAMINESQ,DIAMINESQ.NS,Diamines & Chemicals Limited,EQ,25-Sep-23,10,1,INE591D01014,10
DIAMONDYD,DIAMONDYD.NS,Prataap Snacks Limited,EQ,5-Oct-17,5,1,INE393P01035,5
DICIND,DICIND.NS,DIC India Limited,BE,30-Aug-95,10,1,INE303A01010,10
DIGIDRIVE,DIGIDRIVE.NS,Digidrive Distributors Limited,BE,10-Jan-24,10,1,INE0PSC01024,10
DIGISPICE,DIGISPICE.NS,DiGiSPICE Technologies Limited,BE,27-May-08,3,1,INE927C01020,3
DIGJAMLMTD,DIGJAMLMTD.NS,Digjam Limited,BE,18-Oct-21,10,1,INE731U01028,10
DIL,DIL.NS,Debock Industries Limited,EQ,31-Mar-22,10,1,INE411Y01011,10
DISHTV,DISHTV.NS,Dish TV India Limited,EQ,18-Apr-07,1,1,INE836F01026,1
DIVGIITTS,DIVGIITTS.NS,Divgi Torqtransfer Systems Limited,EQ,14-Mar-23,5,1,INE753U01022,5
DIVISLAB,DIVISLAB.NS,Divi's Laboratories Limited,EQ,12-Mar-03,2,1,INE361B01024,2
DIXON,DIXON.NS,Dixon Technologies (India) Limited,EQ,18-Sep-17,2,1,INE935N01020,2
DJML,DJML.NS,DJ Mediaprint & Logistics Limited,BE,5-Dec-22,10,1,INE0B1K01014,10
DLF,DLF.NS,DLF Limited,EQ,5-Jul-07,2,1,INE271C01023,2
DLINKINDIA,DLINKINDIA.NS,D-Link (India) Limited,EQ,18-Dec-09,2,1,INE250K01012,2
DMART,DMART.NS,Avenue Supermarts Limited,EQ,21-Mar-17,10,1,INE192R01011,10
DMCC,DMCC.NS,DMCC SPECIALITY CHEMICALS LIMITED,EQ,1-Dec-21,10,1,INE505A01010,10
DNAMEDIA,DNAMEDIA.NS,Diligent Media Corporation Limited,BE,11-Dec-17,1,1,INE016M01021,1
DODLA,DODLA.NS,Dodla Dairy Limited,EQ,28-Jun-21,10,1,INE021O01019,10
DOLATALGO,DOLATALGO.NS,Dolat Algotech Limited,EQ,12-Jan-24,1,1,INE966A01022,1
DOLLAR,DOLLAR.NS,Dollar Industries Limited,EQ,21-Apr-17,2,1,INE325C01035,2
DOLPHIN,DOLPHIN.NS,Dolphin Offshore Enterprises (India) Limited,BE,21-Aug-23,1,1,INE920A01037,1
DOMS,DOMS.NS,DOMS Industries Limited,EQ,20-Dec-23,10,1,INE321T01012,10
DONEAR,DONEAR.NS,Donear Industries Limited,BE,20-Dec-06,2,1,INE668D01028,2
DPABHUSHAN,DPABHUSHAN.NS,D. P. Abhushan Limited,EQ,3-Nov-20,10,1,INE266Y01019,10
DPSCLTD,DPSCLTD.NS,DPSC Limited,EQ,21-Apr-08,1,1,INE360C01024,1
DPWIRES,DPWIRES.NS,D P Wires Limited,EQ,17-Jan-20,10,1,INE864X01013,10
DRCSYSTEMS,DRCSYSTEMS.NS,DRC Systems India Limited,BE,10-Mar-21,1,1,INE03RS01027,1
DREAMFOLKS,DREAMFOLKS.NS,Dreamfolks Services Limited,EQ,6-Sep-22,2,1,INE0JS101016,2
DREDGECORP,DREDGECORP.NS,Dredging Corporation of India Limited,BE,15-Jan-04,10,1,INE506A01018,10
DRREDDY,DRREDDY.NS,Dr. Reddy's Laboratories Limited,EQ,30-May-03,5,1,INE089A01023,5
DSSL,DSSL.NS,Dynacons Systems & Solutions Limited,EQ,1-Dec-11,10,1,INE417B01040,10
DTIL,DTIL.NS,Dhunseri Tea & Industries Limited,EQ,20-Jan-15,10,1,INE341R01014,10
DUCON,DUCON.NS,Ducon Infratechnologies Limited,BE,9-Oct-12,1,1,INE741L01018,1
DVL,DVL.NS,Dhunseri Ventures Limited,EQ,11-Jan-08,10,1,INE477B01010,10
DWARKESH,DWARKESH.NS,Dwarikesh Sugar Industries Limited,EQ,31-Dec-04,1,1,INE366A01041,1
DYCL,DYCL.NS,Dynamic Cables Limited,EQ,27-Jul-22,10,1,INE600Y01019,10
DYNAMATECH,DYNAMATECH.NS,Dynamatic Technologies Limited,EQ,14-Sep-06,10,1,INE221B01012,10
DYNPRO,DYNPRO.NS,Dynemic Products Limited,BE,19-Jul-17,10,1,INE256H01015,10
E2E,E2E.NS,E2E Networks Limited,BE,12-Apr-22,10,1,INE255Z01019,10
EASEMYTRIP,EASEMYTRIP.NS,Easy Trip Planners Limited,EQ,19-Mar-21,1,1,INE07O001026,1
ECLERX,ECLERX.NS,eClerx Services Limited,EQ,31-Dec-07,10,1,INE738I01010,10
ECOSMOBLTY,ECOSMOBLTY.NS,Ecos (India) Mobility & Hospitality Limited,EQ,4-Sep-24,2,1,INE06HJ01020,2
EDELWEISS,EDELWEISS.NS,Edelweiss Financial Services Limited,EQ,12-Dec-07,1,1,INE532F01054,1
EICHERMOT,EICHERMOT.NS,Eicher Motors Limited,EQ,7-Sep-04,1,1,INE066A01021,1
EIDPARRY,EIDPARRY.NS,EID Parry India Limited,EQ,10-May-95,1,1,INE126A01031,1
EIFFL,EIFFL.NS,Euro India Fresh Foods Limited,EQ,12-Oct-21,10,1,INE546V01010,10
EIHAHOTELS,EIHAHOTELS.NS,EIH Associated Hotels Limited,EQ,8-Apr-08,10,1,INE276C01014,10
EIHOTEL,EIHOTEL.NS,EIH Limited,EQ,8-Feb-95,2,1,INE230A01023,2
EIMCOELECO,EIMCOELECO.NS,Eimco Elecon (India) Limited,BE,17-Apr-96,10,1,INE158B01016,10
EKC,EKC.NS,Everest Kanto Cylinder Limited,EQ,15-Dec-05,2,1,INE184H01027,2
ELDEHSG,ELDEHSG.NS,Eldeco Housing And Industries Limited,EQ,12-Apr-22,2,1,INE668G01021,2
ELECON,ELECON.NS,Elecon Engineering Company Limited,EQ,29-Sep-06,1,1,INE205B01031,1
ELECTCAST,ELECTCAST.NS,Electrosteel Castings Limited,EQ,20-Jun-03,1,1,INE086A01029,1
ELECTHERM,ELECTHERM.NS,Electrotherm (India) Limited,BE,20-Aug-07,10,1,INE822G01016,10
ELGIEQUIP,ELGIEQUIP.NS,Elgi Equipments Limited,EQ,22-Nov-95,1,1,INE285A01027,1
ELGIRUBCO,ELGIRUBCO.NS,Elgi Rubber Company Limited,BE,10-Aug-11,1,1,INE819L01012,1
ELIN,ELIN.NS,Elin Electronics Limited,EQ,30-Dec-22,5,1,INE050401020,5
EMAMILTD,EMAMILTD.NS,Emami Limited,EQ,3-Aug-06,1,1,INE548C01032,1
EMAMIPAP,EMAMIPAP.NS,Emami Paper Mills Limited,EQ,30-May-19,2,1,INE830C01026,2
EMAMIREAL,EMAMIREAL.NS,Emami Realty Limited,BE,28-Jul-10,2,1,INE778K01012,2
EMBDL,EMBDL.NS,Equinox India Developments Limited,EQ,23-Mar-07,2,1,INE069I01010,2
EMCURE,EMCURE.NS,Emcure Pharmaceuticals Limited,EQ,10-Jul-24,10,1,INE168P01015,10
EMIL,EMIL.NS,Electronics Mart India Limited,EQ,17-Oct-22,10,1,INE02YR01019,10
EMKAY,EMKAY.NS,Emkay Global Financial Services Limited,BE,28-Apr-06,10,1,INE296H01011,10
EMMBI,EMMBI.NS,Emmbi Industries Limited,EQ,24-Feb-10,10,1,INE753K01015,10
EMSLIMITED,EMSLIMITED.NS,EMS Limited,EQ,21-Sep-23,10,1,INE0OV601013,10
EMUDHRA,EMUDHRA.NS,eMudhra Limited,EQ,1-Jun-22,5,1,INE01QM01018,5
ENDURANCE,ENDURANCE.NS,Endurance Technologies Limited,EQ,19-Oct-16,10,1,INE913H01037,10
ENERGYDEV,ENERGYDEV.NS,Energy Development Company Limited,BE,2-Nov-07,10,1,INE306C01019,10
ENGINERSIN,ENGINERSIN.NS,Engineers India Limited,EQ,20-Aug-97,5,1,INE510A01028,5
ENIL,ENIL.NS,Entertainment Network (India) Limited,EQ,15-Feb-06,10,1,INE265F01028,10
ENTERO,ENTERO.NS,Entero Healthcare Solutions Limited,EQ,16-Feb-24,10,1,INE010601016,10
EPACK,EPACK.NS,EPACK Durable Limited,EQ,30-Jan-24,10,1,INE0G5901015,10
EPIGRAL,EPIGRAL.NS,Epigral Limited,EQ,18-Aug-21,10,1,INE071N01016,10
EPL,EPL.NS,EPL Limited,EQ,11-Feb-02,2,1,INE255A01020,2
EQUIPPP,EQUIPPP.NS,Equippp Social Impact Technologies Limited,BE,19-May-21,1,1,INE217G01035,1
EQUITASBNK,EQUITASBNK.NS,Equitas Small Finance Bank Limited,EQ,2-Nov-20,10,1,INE063P01018,10
ERIS,ERIS.NS,Eris Lifesciences Limited,EQ,29-Jun-17,1,1,INE406M01024,1
EROSMEDIA,EROSMEDIA.NS,Eros International Media Limited,EQ,6-Oct-10,10,1,INE416L01017,10
ESABINDIA,ESABINDIA.NS,Esab India Limited,EQ,1-Nov-95,10,1,INE284A01012,10
ESAFSFB,ESAFSFB.NS,ESAF Small Finance Bank Limited,EQ,10-Nov-23,10,1,INE818W01011,10
ESCORTS,ESCORTS.NS,Escorts Kubota Limited,EQ,1-Mar-95,10,1,INE042A01014,10
ESSARSHPNG,ESSARSHPNG.NS,Essar Shipping Limited,BE,15-Nov-11,10,1,INE122M01019,10
ESSENTIA,ESSENTIA.NS,Integra Essentia Limited,EQ,20-Aug-13,1,1,INE418N01035,1
ESTER,ESTER.NS,Ester Industries Limited,EQ,20-Jun-11,5,1,INE778B01029,5
ETHOSLTD,ETHOSLTD.NS,Ethos Limited,EQ,30-May-22,10,1,INE04TZ01018,10
EUREKAFORB,EUREKAFORB.NS,Eureka Forbes Limited,EQ,11-Sep-24,10,1,INE0KCE01017,10
EUROTEXIND,EUROTEXIND.NS,Eurotex Industries and Exports Limited,EQ,31-Jan-96,10,1,INE022C01012,10
EVEREADY,EVEREADY.NS,Eveready Industries India Limited,EQ,27-Apr-05,5,1,INE128A01029,5
EVERESTIND,EVERESTIND.NS,Everest Industries Limited,EQ,29-Mar-95,10,1,INE295A01018,10
EXCEL,EXCEL.NS,Excel Realty N Infra Limited,EQ,3-Aug-09,1,1,INE688J01023,1
EXCELINDUS,EXCELINDUS.NS,Excel Industries Limited,EQ,16-Jun-04,5,1,INE369A01029,5
EXICOM,EXICOM.NS,Exicom Tele-Systems Limited,BE,5-Mar-24,10,1,INE777F01014,10
EXIDEIND,EXIDEIND.NS,Exide Industries Limited,EQ,17-Jun-03,1,1,INE302A01020,1
EXPLEOSOL,EXPLEOSOL.NS,Expleo Solutions Limited,EQ,26-Oct-09,10,1,INE201K01015,10
EXXARO,EXXARO.NS,Exxaro Tiles Limited,EQ,16-Aug-21,10,1,INE0GFE01018,10
FACT,FACT.NS,Fertilizers and Chemicals Travancore Limited,EQ,12-Apr-95,10,1,INE188A01015,10
FAIRCHEMOR,FAIRCHEMOR.NS,Fairchem Organics Limited,EQ,24-Dec-20,10,1,INE0DNW01011,10
FAZE3Q,FAZE3Q.NS,Faze Three Limited,EQ,18-Nov-22,10,1,INE963C01033,10
FCL,FCL.NS,Fineotex Chemical Limited,EQ,15-Jan-15,2,1,INE045J01026,2
FCSSOFT,FCSSOFT.NS,FCS Software Solutions Limited,EQ,21-Sep-05,1,1,INE512B01022,1
FDC,FDC.NS,FDC Limited,EQ,7-Aug-97,1,1,INE258B01022,1
FEDERALBNK,FEDERALBNK.NS,The Federal Bank  Limited,EQ,8-Feb-95,2,1,INE171A01029,2
FEDFINA,FEDFINA.NS,Fedbank Financial Services Limited,EQ,30-Nov-23,10,1,INE007N01010,10
FEL,FEL.NS,Future Enterprises Limited,BZ,5-Nov-01,2,1,INE623B01027,2
FELDVR,FELDVR.NS,Future Enterprises Limited,BE,13-Feb-09,2,1,IN9623B01058,2
FIBERWEB,FIBERWEB.NS,Fiberweb (India) Limited,BE,16-Feb-22,10,1,INE296C01020,10
FIEMIND,FIEMIND.NS,Fiem Industries Limited,EQ,19-Oct-06,10,1,INE737H01014,10
FILATEX,FILATEX.NS,Filatex India Limited,EQ,29-Aug-11,1,1,INE816B01035,1
FILATFASH,FILATFASH.NS,Filatex Fashions Limited,BE,6-May-24,1,1,INE185E01021,1
FINCABLES,FINCABLES.NS,Finolex Cables Limited,EQ,15-Feb-95,2,1,INE235A01022,2
FINEORG,FINEORG.NS,Fine Organic Industries Limited,EQ,2-Jul-18,5,1,INE686Y01026,5
FINOPB,FINOPB.NS,Fino Payments Bank Limited,EQ,12-Nov-21,10,1,INE02NC01014,10
FINPIPE,FINPIPE.NS,Finolex Industries Limited,EQ,8-Feb-95,2,1,INE183A01024,2
FIRSTCRY,FIRSTCRY.NS,Brainbees Solutions Limited,EQ,13-Aug-24,2,1,INE02RE01045,2
FIVESTAR,FIVESTAR.NS,Five-Star Business Finance Limited,EQ,21-Nov-22,1,1,INE128S01021,1
FLAIR,FLAIR.NS,Flair Writing Industries Limited,EQ,1-Dec-23,5,1,INE00Y201027,5
FLEXITUFF,FLEXITUFF.NS,Flexituff Ventures International Limited,BE,19-Oct-11,10,1,INE060J01017,10
FLFL,FLFL.NS,Future Lifestyle Fashions Limited,BZ,1-Oct-13,2,1,INE452O01016,2
FLUOROCHEM,FLUOROCHEM.NS,Gujarat Fluorochemicals Limited,EQ,16-Oct-19,1,1,INE09N301011,1
FMGOETZE,FMGOETZE.NS,Federal-Mogul Goetze (India) Limited.,EQ,8-Feb-95,10,1,INE529A01010,10
FMNL,FMNL.NS,Future Market Networks Limited,BE,31-Dec-10,10,1,INE360L01017,10
FOCUS,FOCUS.NS,Focus Lighting and Fixtures Limited,BE,24-Nov-21,2,1,INE593W01028,2
FOODSIN,FOODSIN.NS,Foods & Inns Limited,EQ,16-Nov-21,1,1,INE976E01023,1
FORCEMOT,FORCEMOT.NS,FORCE MOTORS LTD,EQ,14-Feb-24,10,1,INE451A01017,10
FORTIS,FORTIS.NS,Fortis Healthcare Limited,EQ,9-May-07,10,1,INE061F01013,10
FOSECOIND,FOSECOIND.NS,Foseco India Limited,EQ,5-May-03,10,1,INE519A01011,10
FSC,FSC.NS,Future Supply Chain Solutions Limited,BZ,18-Dec-17,10,1,INE935Q01015,10
FSL,FSL.NS,Firstsource Solutions Limited,EQ,22-Feb-07,10,1,INE684F01012,10
FUSION,FUSION.NS,Fusion Finance Limited,EQ,15-Nov-22,10,1,INE139R01012,10
GABRIEL,GABRIEL.NS,Gabriel India Limited,EQ,20-Apr-05,1,1,INE524A01029,1
GAEL,GAEL.NS,Gujarat Ambuja Exports Limited,EQ,11-Oct-00,1,1,INE036B01030,1
GAIL,GAIL.NS,GAIL (India) Limited,EQ,2-Apr-97,10,1,INE129A01019,10
GALAPREC,GALAPREC.NS,Gala Precision Engineering Limited,BE,9-Sep-24,10,1,INE0RE001014,10
GALAXYSURF,GALAXYSURF.NS,Galaxy Surfactants Limited,EQ,8-Feb-18,10,1,INE600K01018,10
GALLANTT,GALLANTT.NS,Gallantt Ispat Limited,BE,4-Apr-06,10,1,INE297H01019,10
GANDHAR,GANDHAR.NS,Gandhar Oil Refinery (India) Limited,EQ,30-Nov-23,2,1,INE717W01049,2
GANDHITUBE,GANDHITUBE.NS,Gandhi Special Tubes Limited,EQ,31-Jan-07,5,1,INE524B01027,5
GANECOS,GANECOS.NS,Ganesha Ecosphere Limited,EQ,9-Mar-15,10,1,INE845D01014,10
GANESHBE,GANESHBE.NS,Ganesh Benzoplast Limited,EQ,16-Sep-21,1,1,INE388A01029,1
GANESHHOUC,GANESHHOUC.NS,Ganesh Housing Corporation Limited,EQ,2-Mar-07,10,1,INE460C01014,10
GANGAFORGE,GANGAFORGE.NS,Ganga Forging Limited,EQ,6-Jul-21,1,1,INE691Z01023,1
GANGESSECU,GANGESSECU.NS,Ganges Securities Limited,EQ,28-Jul-17,10,1,INE335W01016,10
GARFIBRES,GARFIBRES.NS,Garware Technical Fibres Limited,EQ,3-Apr-07,10,1,INE276A01018,10
GATECH,GATECH.NS,GACM Technologies Limited,EQ,25-Jul-16,1,1,INE224E01028,1
GATECHDVR,GATECHDVR.NS,GACM Technologies Limited,BE,10-Oct-17,1,1,INE224E01036,1
GATEWAY,GATEWAY.NS,Gateway Distriparks Limited,EQ,22-Mar-22,10,1,INE079J01017,10
GAYAHWS,GAYAHWS.NS,Gayatri Highways Limited,BE,28-Jun-18,2,1,INE287Z01012,2
GEECEE,GEECEE.NS,GeeCee Ventures Limited,EQ,4-Oct-06,10,1,INE916G01016,10
GEEKAYWIRE,GEEKAYWIRE.NS,Geekay Wires Limited,BE,6-Mar-20,2,1,INE669X01024,2
GENCON,GENCON.NS,Generic Engineering Construction and Projects Limited,BE,16-Feb-21,5,1,INE854S01022,5
GENESYS,GENESYS.NS,Genesys International Corporation Limited,EQ,23-Jan-03,5,1,INE727B01026,5
GENSOL,GENSOL.NS,Gensol Engineering Limited,EQ,3-Jul-23,10,1,INE06H201014,10
GENUSPAPER,GENUSPAPER.NS,Genus Paper & Boards Limited,EQ,16-Feb-15,1,1,INE949P01018,1
GENUSPOWER,GENUSPOWER.NS,Genus Power Infrastructures Limited,EQ,8-Jul-05,1,1,INE955D01029,1
GEOJITFSL,GEOJITFSL.NS,Geojit Financial Services Limited,EQ,1-Jul-05,1,1,INE007B01023,1
GEPIL,GEPIL.NS,GE Power India Limited,BE,19-Apr-00,10,1,INE878A01011,10
GESHIP,GESHIP.NS,The Great Eastern Shipping Company Limited,EQ,27-Nov-06,10,1,INE017A01032,10
GET&D,GET&D.NS,GE T&D India Limited,BE,30-Jun-08,2,1,INE200A01026,2
GFLLIMITED,GFLLIMITED.NS,GFL Limited,EQ,25-May-95,1,1,INE538A01037,1
GHCL,GHCL.NS,GHCL Limited,EQ,31-Jul-03,10,1,INE539A01019,10
GHCLTEXTIL,GHCLTEXTIL.NS,GHCL Textiles Limited,EQ,12-Jun-23,2,1,INE0PA801013,2
GICHSGFIN,GICHSGFIN.NS,GIC Housing Finance Limited,EQ,8-May-96,10,1,INE289B01019,10
GICRE,GICRE.NS,General Insurance Corporation of India,EQ,25-Oct-17,5,1,INE481Y01014,5
GILLANDERS,GILLANDERS.NS,Gillanders Arbuthnot & Company Limited,EQ,14-Dec-09,10,1,INE047B01011,10
GILLETTE,GILLETTE.NS,Gillette India Limited,EQ,30-Jul-03,10,1,INE322A01010,10
GINNIFILA,GINNIFILA.NS,Ginni Filaments Limited,EQ,10-May-95,10,1,INE424C01010,10
GIPCL,GIPCL.NS,Gujarat Industries Power Company Limited,EQ,8-Feb-95,10,1,INE162A01010,10
GKWLIMITED,GKWLIMITED.NS,GKW Limited,EQ,20-Jul-09,10,1,INE528A01020,10
GLAND,GLAND.NS,Gland Pharma Limited,EQ,20-Nov-20,1,1,INE068V01023,1
GLAXO,GLAXO.NS,GlaxoSmithKline Pharmaceuticals Limited,EQ,15-Dec-00,10,1,INE159A01016,10
GLENMARK,GLENMARK.NS,Glenmark Pharmaceuticals Limited,EQ,7-Feb-00,1,1,INE935A01035,1
GLFL,GLFL.NS,Gujarat Lease Financing Limited,BE,8-Feb-95,10,1,INE540A01017,10
GLOBAL,GLOBAL.NS,Global Education Limited,EQ,7-Dec-20,5,1,INE291W01029,5
GLOBALE,GLOBALE.NS,Globale Tessile Limited,BE,27-Aug-24,10,1,INE0URU01010,10
GLOBALVECT,GLOBALVECT.NS,Global Vectra Helicorp Limited,BE,27-Oct-06,10,1,INE792H01019,10
GLOBE,GLOBE.NS,Globe Textiles (India) Limited,BE,7-Oct-20,2,1,INE581X01021,2
GLOBUSSPR,GLOBUSSPR.NS,Globus Spirits Limited,EQ,23-Sep-09,10,1,INE615I01010,10
GLOSTERLTD,GLOSTERLTD.NS,Gloster Limited,EQ,26-Apr-24,10,1,INE350Z01018,10
GLS,GLS.NS,Glenmark Life Sciences Limited,EQ,6-Aug-21,2,1,INE03Q201024,2
GMBREW,GMBREW.NS,GM Breweries Limited,EQ,23-Aug-95,10,1,INE075D01018,10
GMDCLTD,GMDCLTD.NS,Gujarat Mineral Development Corporation Limited,EQ,17-Dec-97,2,1,INE131A01031,2
GMMPFAUDLR,GMMPFAUDLR.NS,GMM Pfaudler Limited,EQ,5-Mar-18,2,1,INE541A01023,2
GMRINFRA,GMRINFRA.NS,GMR Airports Infrastructure Limited,EQ,21-Aug-06,1,1,INE776C01039,1
GMRP&UI,GMRP&UI.NS,GMR Power and Urban Infra Limited,EQ,23-Mar-22,5,1,INE0CU601026,5
GNA,GNA.NS,GNA Axles Limited,EQ,26-Sep-16,10,1,INE934S01014,10
GNFC,GNFC.NS,Gujarat Narmada Valley Fertilizers and Chemicals Limited,EQ,17-May-95,10,1,INE113A01013,10
GOACARBON,GOACARBON.NS,Goa Carbon Limited,EQ,5-Jun-07,10,1,INE426D01013,10
GOCLCORP,GOCLCORP.NS,GOCL Corporation Limited,EQ,26-Jun-14,2,1,INE077F01035,2
GOCOLORS,GOCOLORS.NS,Go Fashion (India) Limited,EQ,30-Nov-21,10,1,INE0BJS01011,10
GODFRYPHLP,GODFRYPHLP.NS,Godfrey Phillips India Limited,EQ,24-Jul-96,2,1,INE260B01028,2
GODHA,GODHA.NS,Godha Cabcon & Insulation Limited,BE,24-Dec-20,1,1,INE925Y01036,1
GODIGIT,GODIGIT.NS,Go Digit General Insurance Limited,EQ,23-May-24,10,1,INE03JT01014,10
GODREJAGRO,GODREJAGRO.NS,Godrej Agrovet Limited,EQ,16-Oct-17,10,1,INE850D01014,10
GODREJCP,GODREJCP.NS,Godrej Consumer Products Limited,EQ,20-Jun-01,1,1,INE102D01028,1
GODREJIND,GODREJIND.NS,Godrej Industries Limited,EQ,25-Feb-03,1,1,INE233A01035,1
GODREJPROP,GODREJPROP.NS,Godrej Properties Limited,EQ,5-Jan-10,5,1,INE484J01027,5
GOENKA,GOENKA.NS,Goenka Diamond and Jewels Limited,BZ,16-Apr-10,1,1,INE516K01024,1
GOKEX,GOKEX.NS,Gokaldas Exports Limited,EQ,27-Apr-05,5,1,INE887G01027,5
